timeTick, n_in0, n_in1, n_in2, n_in3, n_in4, n_in5, n_in6, n_in7, n_in8, n_in9, n_in10, n_in11, n_in12, n_out0, n_out1, n_out2, n_out3, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0
54075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11163432151079178, 0.10037515312433243, 0.03341773897409439, -0.2927773871321172, -1.003258221505746, 0.7001125415280881
54085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1116282045841217, 0.10036207735538483, 0.03346703574061394, -0.2871338855647347, -0.9818568574481503, 0.7023107345397992
54095, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162352561950684, 0.10035475343465805, 0.03343457728624344, -0.29311085817397775, -0.9738869093247331, 0.7099058548965297
54105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11158053576946259, 0.10021594166755676, 0.03352039307355881, -0.31425197839012053, -0.7268459462630119, 0.5637222490296616
54115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11155934631824493, 0.10026978701353073, 0.033500973135232925, -0.32823912071353434, -0.7841951182173261, 0.6131850962039401
54125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11156146973371506, 0.10029865801334381, 0.03355077654123306, -0.3167108839869763, -0.7228222040731112, 0.6169098767564314
54135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1116333156824112, 0.10035913437604904, 0.03343161940574646, -0.2501805690871354, -0.9896539901307335, 0.707795600782447
54145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11156442761421204, 0.10028675198554993, 0.03349946811795235, -0.3178454614220075, -0.7879825065596435, 0.6116357017480984
54155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162157356739044, 0.10034757852554321, 0.033405281603336334, -0.3247068601206453, -1.0171030617404142, 0.7076184170368519
54165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11163422465324402, 0.10035233944654465, 0.033405035734176636, -0.299252053122739, -0.9723010342285363, 0.7000240224867418
54175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11163107305765152, 0.10034351050853729, 0.03344988077878952, -0.316330683717804, -0.9679696097376222, 0.699529188391797
54185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11165077239274979, 0.10037578642368317, 0.033445097506046295, -0.31009959322128444, -0.964930077883082, 0.710215962381397
54205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1116110309958458, 0.10033585876226425, 0.03332348167896271, -0.15894682107946248, -0.8630926286939484, 0.7075175397595757
54235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11163873225450516, 0.10036221891641617, 0.03341696411371231, -0.2870426159636512, -0.9798245609931655, 0.7177949029751306
54285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1115480363368988, 0.10029902309179306, 0.033493977040052414, -0.36681249166282864, -0.783483645639393, 0.5989677871365396
54445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1116337701678276, 0.10036254674196243, 0.033406976610422134, -0.30364887788274375, -0.9867268820134427, 0.7115800043328898
54545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11161647737026215, 0.10035733133554459, 0.03343450278043747, -0.2994961817054413, -0.9659050514199805, 0.698744323997047
54565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162824928760529, 0.10035762190818787, 0.03341389819979668, -0.2580884892246505, -0.9946537136481481, 0.7183239579172127
54745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162697523832321, 0.10036858916282654, 0.03342946618795395, -0.27498786864891694, -0.9841433473950758, 0.6966849424615164
54775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11156260222196579, 0.10028913617134094, 0.03352532908320427, -0.3126513047868852, -0.7891684536042476, 0.6115302912618591
